model,cv_MAE,cv_MAE_std,cv_R2,cv_R2_std,lopo_MAE,lopo_R2
MLP_DNN,0.0273759675665979,0.0061972352498092,0.8380560841641052,0.1080805387085604,0.3089666666666666,-51.50386666666666
Linear,0.064677369355961,0.0072782911447109,0.4239045656154679,0.2450649535443048,0.3671,-66.30226666666667
RandomForest,0.0553660069079256,0.0111337061955861,0.4802399797343312,0.3441327311976642,0.0778,0.0294
GradientBoosting,0.052446422210801945,0.009264345972576696,0.5034114276021004,0.31038332311816824,0.0936,-0.9624
