initial_weight_kg,age_days,sex_male,bos_indicus_proportion_pct,supplement_amount_kg_day,supplement_crude_protein_pct,supplement_metabolizable_energy,supplementation_frequency_days_week,forage_crude_protein_pct,forage_digestibility_pct,days_on_pasture,paddock_rotation,transport_stress,mean_temperature_c,accumulated_rainfall_mm,days_since_health_event,health_event_duration_days,recent_vaccination,recent_deworming,adg_kg_day
195,445,0,100.0,0.743,30,20.0,7,9.2,57.2,235,1,0,22.0,572.5,0,0,0,0,0.4468
162,425,0,100.0,0.6,30,20.0,7,9.2,57.2,235,1,0,22.0,572.5,0,0,0,0,0.3234
136,496,0,100.0,0.687,30,20.0,7,9.2,57.2,346,1,0,22.1,769.5,0,0,0,0,0.5376
212,475,0,100.0,0.858,30,20.0,7,9.2,57.2,235,1,0,22.0,572.5,0,0,0,0,0.6298
165,526,0,100.0,0.698,30,20.0,7,9.2,57.2,346,1,0,22.1,769.5,0,0,0,0,0.3902
166,531,0,100.0,0.711,30,20.0,7,9.2,57.2,346,1,0,22.1,769.5,0,0,0,0,0.4104
127,506,0,100.0,0.567,30,20.0,7,9.2,57.2,346,1,0,22.1,769.5,0,0,0,0,0.3584
159,405,0,100.0,0.632,30,20.0,7,9.2,57.2,235,1,0,22.0,572.5,0,0,0,0,0.4383
205,505,0,100.0,0.713,30,20.0,7,9.2,57.2,235,1,0,22.0,572.5,0,0,0,0,0.2766
185,450,0,100.0,0.714,30,20.0,7,9.2,57.2,235,1,0,22.0,572.5,0,0,0,0,0.4511
193,435,0,100.0,0.664,30,20.0,7,9.2,57.2,235,1,0,22.0,572.5,0,0,0,0,0.2426
219,540,0,50.0,0.811,30,20.0,7,9.2,57.2,320,1,0,22.1,578.6,0,0,0,0,0.3219
236,438,0,100.0,0.813,30,20.0,7,9.2,57.2,208,1,0,21.9,381.5,0,0,0,0,0.3365
172,599,0,100.0,0.716,30,20.0,7,9.2,57.2,404,1,0,22.2,1135.1,0,0,0,0,0.3292
241,544,0,100.0,0.884,30,20.0,7,9.2,57.2,244,1,0,21.6,384.8,0,0,0,0,0.4385
210,284,0,100.0,0.801,30,20.0,7,5.5,47.2,64,1,0,22.2,397.8,0,0,0,0,1.7812
211,510,0,100.0,0.775,30,20.0,7,5.5,47.2,305,1,0,22.1,997.7,0,0,0,0,0.3115
208,515,0,100.0,0.801,30,20.0,7,5.5,47.2,305,1,0,22.1,997.7,0,0,0,0,0.3869
187,495,0,100.0,0.784,30,20.0,7,5.5,47.2,305,1,0,22.1,997.7,0,0,0,0,0.4885
234,646,0,100.0,0.767,30,20.0,7,5.5,47.2,106,1,0,19.7,36.2,0,0,0,0,0.4057
273,632,0,100.0,0.893,30,20.0,7,5.5,47.2,142,1,0,19.8,39.5,0,0,0,0,0.3451
254,506,0,100.0,0.813,30,20.0,7,5.5,47.2,106,1,0,19.7,36.2,0,0,0,0,0.3208
167,457,0,100.0,0.648,30,20.0,7,5.5,47.2,217,1,0,21.1,233.2,0,0,0,0,0.4516
226,406,0,100.0,0.732,30,20.0,7,5.5,47.2,106,1,0,19.7,36.2,0,0,0,0,0.3396
226,382,0,50.0,0.767,30,20.0,7,5.5,47.2,142,1,0,19.8,39.5,0,0,0,0,0.4155
228,376,0,100.0,0.716,30,20.0,7,5.5,47.2,106,1,0,19.7,36.2,0,0,0,0,0.1981
246,417,0,100.0,0.802,30,20.0,7,5.5,47.2,142,1,0,19.8,39.5,0,0,0,0,0.3028
248,427,0,100.0,0.816,30,20.0,7,5.5,47.2,142,1,0,19.8,39.5,0,0,0,0,0.338
226,402,0,100.0,0.75,30,20.0,7,5.5,47.2,142,1,0,19.8,39.5,0,0,0,0,0.338
140,482,0,100.0,0.617,30,20.0,7,5.5,47.2,302,1,0,21.6,789.9,0,0,0,0,0.4338
141,477,0,100.0,0.572,30,20.0,7,5.5,47.2,302,1,0,21.6,789.9,0,0,0,0,0.3278
233,392,0,100.0,0.808,30,20.0,7,5.5,47.2,142,1,0,19.8,39.5,0,0,0,0,0.5141
