initial_weight_kg,age_days,sex_male,bos_indicus_proportion_pct,supplement_amount_kg_day,supplement_crude_protein_pct,supplement_metabolizable_energy,supplementation_frequency_days_week,forage_crude_protein_pct,forage_digestibility_pct,days_on_pasture,paddock_rotation,transport_stress,mean_temperature_c,accumulated_rainfall_mm,days_since_health_event,health_event_duration_days,recent_vaccination,recent_deworming,adg_kg_day
116,530,0,50.0,0.528,35,2.2,7,11.35,63.0,259,1,0,25.0,202.4,0,0,0,0,0.231660231660232
121,530,0,50.0,0.573,35,2.2,7,11.35,63.0,259,1,0,25.0,202.4,0,0,0,0,0.27027027027027
118,530,0,50.0,0.555,35,2.2,7,11.35,63.0,259,1,0,25.0,202.4,0,0,0,0,0.258687258687259
120,530,0,50.0,0.525,35,2.2,7,11.35,63.0,154,1,0,25.0,202.4,0,0,0,0,0.357142857142857
176,530,0,50.0,0.825,35,2.2,7,11.35,63.0,301,1,0,25.0,202.4,0,0,0,0,0.32890365448505
173,530,0,50.0,0.825,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.338870431893688
161,530,0,50.0,0.819,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.372093023255814
134,530,0,50.0,0.789,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.428571428571429
155,530,0,50.0,0.96,35,2.2,7,6.58,53.8,383,1,0,20.0,202.4,0,0,0,0,0.430809399477807
260,530,0,50.0,0.906,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.13953488372093
193,530,0,50.0,0.9,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.355481727574751
183,530,0,50.0,0.798,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.275747508305648
151,530,0,50.0,0.723,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.299003322259136
165,530,0,50.0,0.858,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.401993355481728
177,530,0,50.0,0.867,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.372093023255814
153,530,0,50.0,0.651,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.212624584717608
210,530,0,50.0,0.93,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.332225913621262
143,530,0,50.0,0.783,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.39202657807309
169,530,0,50.0,0.714,35,2.2,7,6.58,53.8,301,1,0,20.0,202.4,0,0,0,0,0.229235880398671
169,530,0,50.0,0.984,35,2.2,7,6.58,53.8,383,1,0,20.0,202.4,0,0,0,0,0.415143603133159
124,530,0,50.0,0.837,35,2.2,7,6.58,53.8,383,1,0,24.0,202.4,0,0,0,0,0.404699738903394
112,530,0,50.0,0.549,35,2.2,7,6.58,53.8,259,1,0,24.0,202.4,0,0,0,0,0.274131274131274
123,530,0,50.0,0.594,35,2.2,7,11.35,63.0,259,1,0,31.0,202.4,0,0,0,0,0.28957528957529
112,530,0,50.0,0.618,35,2.2,7,11.35,63.0,154,1,0,31.0,202.4,0,0,0,0,0.61038961038961
89,530,0,50.0,0.309,35,2.2,7,11.35,63.0,259,1,0,31.0,202.4,0,0,0,0,0.540540540540541
120,530,0,50.0,0.54,35,2.2,7,11.35,63.0,259,1,0,31.0,202.4,0,0,0,0,0.231660231660232
115,530,0,50.0,0.516,35,2.2,7,11.35,63.0,259,1,0,31.0,202.4,0,0,0,0,0.22007722007722
167,530,0,50.0,0.618,35,2.2,7,11.35,63.0,154,1,0,31.0,202.4,0,0,0,0,0.253246753246753
185,530,0,50.0,0.894,35,2.2,7,11.35,63.0,361,1,0,31.0,202.4,0,0,0,0,0.313019390581717
