sexo,raca,idade_dias,peso_inicial_kg,qualidade_pasto,tipo_pasto,taxa_lotacao_ua_ha,area_pasto_ha_animal,quantidade_suplemento_kg_dia,suplementacao_acesso_livre,evento_sanitario_recente,tipo_evento_sanitario,vermifugacao_recente,vacina_recente,tratamento_recente,temperatura_media,estacao_ano,rotacao_piquete,condicao_corporal,tipo_suplementato,frequencia_suplementacao_semana,facilidade_acesso_agua,severidade_evento,estresse_transporte,estresse_manejo,dias_evento_sanitario,tipo_sistema_manejo,dias_permanecia,tipo_fonte_agua,saida_ganho_total_kg,saida_gmd_kg_dia
F,anelorada,409,195,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.708,sim,nao,nao,nao,nao,nao,31,verao,sim,media,sal_proteinado_01,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,184,poco_artesiano,41,0.222826086956522
F,anelorada,467,136,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.825,sim,nao,nao,nao,nao,nao,31,verao,sim,media,sal_proteinado_01,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,317,poco_artesiano,139,0.438485804416404
F,anelorada,384,236,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.834,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinado_01,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,184,poco_artesiano,42,0.228260869565217
F,anelorada,384,211,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.765,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinado_01,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,184,poco_artesiano,44,0.239130434782609
F,girolando,684,251,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.804,sim,sim,doenca_babese,nao,nao,sim,31,verao,sim,ruim,sal_proteinado_01,7,muito_facil,agressivo,nao,nao,1,piquete_rotacionado,234,poco_artesiano,17,0.0726495726495727
F,anelorada,467,165,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.78,sim,nao,nao,nao,nao,nao,31,verao,sim,muito_boa,sal_proteinado_01,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,317,poco_artesiano,95,0.299684542586751
F,anelorada,767,219,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.93,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinado_01,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,317,poco_artesiano,91,0.287066246056782
F,anelorada,775,159,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.822,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinado_01,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,595,poco_artesiano,115,0.19327731092437
F,anelorada,467,162,boa,decumbens_tanzania_mg4_marandu,1,0.9,0.726,sim,nao,nao,nao,nao,nao,31,verao,sim,boa,sal_proteinado_01,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,317,poco_artesiano,80,0.252365930599369
F,holandesa,530,220,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,1.11,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,150,0.391644908616188
F,nelore,530,162,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.684,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,277,poco_artesiano,66,0.23826714801444
F,angus,530,204,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,1.11,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,166,0.433420365535248
F,nelore,530,192,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.786,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,277,poco_artesiano,70,0.252707581227437
F,nelore,530,188,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.717,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,277,poco_artesiano,51,0.184115523465704
F,guzera,530,197,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,1.02,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,143,0.373368146214099
F,anelorada,530,152,boa,marandu_braquiaria_mg5_estrela,1,1.33333333333333,0.912,sim,nao,nao,nao,nao,nao,24,outono,sim,boa,sal_proteinada_03,7,muito_facil,nao,nao,nao,nao,piquete_rotacionado,383,poco_artesiano,152,0.396866840731071
