id_animal,id_propriedade,data_entrada,data_saida,peso_entrada_kg,peso_saida_kg,dias_permanencia,gmd_kg_dia,sexo_macho,proporcao_bos_indicus_pct,media_suplemento_kg_dia,pb_suplemento_pct,frequencia_suplementacao_dias_semana,media_proteina_bruta_forragem_pct,rotacao_piquete,numero_eventos_transporte,temperatura_media_c,precipitacao_acumulada_mm,proporcao_ciclo_seca
344,elvis,2023-01-23,2024-02-01,140,297,374,0.419786,0,75,0.655,30,7,10.42,1,1,22.32,1056.5,0.4893
352,elvis,2023-01-23,2024-02-01,188,322,374,0.358289,0,75,0.765,30,7,10.42,1,1,22.32,1056.5,0.4893
347,elvis,2023-01-23,2024-02-01,148,296,374,0.395722,0,75,0.666,30,7,10.42,1,1,22.32,1056.5,0.4893
245,elvis,2023-01-23,2024-02-01,208,346,374,0.368984,0,75,0.831,30,7,10.42,1,1,22.32,1056.5,0.4893
359,elvis,2023-01-23,2024-02-01,202,353,374,0.403743,0,75,0.833,30,7,10.42,1,1,22.32,1056.5,0.4893
370,elvis,2023-08-25,2024-02-01,284,376,160,0.575,0,75,0.99,30,7,10.42,1,1,25.41,597.7,0.2313
367,elvis,2023-09-03,2024-02-01,192,226,151,0.225166,0,75,0.627,30,7,10.42,1,1,25.57,584.3,0.1854
375,elvis,2023-08-25,2024-02-01,265,334,160,0.43125,0,75,0.898,30,7,10.42,1,1,25.41,597.7,0.2313
361,elvis,2023-09-03,2024-02-01,190,266,151,0.503311,0,75,0.684,30,7,10.42,1,1,25.57,584.3,0.1854
360,elvis,2023-09-03,2023-12-09,237,276,97,0.402062,0,75,0.769,30,7,10.42,1,1,25.88,347.6,0.2887
337,elvis,2023-01-11,2024-02-01,218,380,386,0.419689,0,75,0.897,30,7,10.42,1,1,22.32,1206.3,0.4741
332,elvis,2022-09-25,2024-02-01,160,316,494,0.315789,0,75,0.714,30,7,10.42,1,1,22.3,2011.4,0.3826
331,elvis,2022-09-25,2024-02-01,188,350,494,0.327935,0,75,0.807,30,7,10.42,1,1,22.3,2011.4,0.3826
233,elvis,2022-07-16,2024-02-01,185,386,565,0.355752,0,75,0.857,30,7,10.42,1,1,22.15,2049.2,0.4602
373,elvis,2023-08-25,2024-02-01,256,331,160,0.46875,0,75,0.881,30,7,10.42,1,1,25.41,597.7,0.2313
349,elvis,2023-01-23,2024-02-01,209,348,374,0.371658,0,75,0.836,30,7,10.42,1,1,22.32,1056.5,0.4893
348,elvis,2023-01-23,2024-02-01,161,331,374,0.454545,0,75,0.738,30,7,10.42,1,1,22.32,1056.5,0.4893
374,elvis,2023-08-25,2024-02-01,298,360,160,0.3875,0,75,0.987,30,7,10.42,1,1,25.41,597.7,0.2313
342,elvis,2023-01-23,2024-02-01,135,312,374,0.473262,0,75,0.67,30,7,10.42,1,1,22.32,1056.5,0.4893
336,elvis,2023-01-22,2024-04-13,128,400,447,0.608501,0,75,0.792,30,7,10.42,1,1,22.59,1418.8,0.4362
329,elvis,2022-07-16,2024-04-13,166,400,637,0.367347,0,75,0.849,30,7,10.42,1,1,22.36,2407.9,0.427
411,elvis,2024-02-22,2024-04-13,273,290,51,0.333333,0,75,0.845,30,7,10.42,1,1,24.09,255.1,0.2353
